,comment,sent,off
5870,ಇದು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಚರಿತ್ರೆ ಸೃಟಿಸೂ ಅವತಾರ ಯಾರ್ ಅವನು .......... (ಅವನೇ ಶ್ರೀಮನಾರಾಯಣ) All The Best D B055 fan,Positive,Not_offensive
456,@Nandi Parthasarathi ನಿ ಮುಂಡೆ,unknown,Offensive_Targeted_Insult_Individual
410,@Nandi Parthasarathi illa kgfuck aythu,Negative,Offensive_Targeted_Insult_Group
6523,ನನ್ನ ಪ್ರಕಾರ ಈ ಫಿಲ್ಮ್ ಅನ್ನು re-release ಮಾಡಸಬೇಕು,Positive,Not_offensive
7014,ಸರ್ ಈ ತರಹ  ಸ್ಪೀಚ್ ಬೇಕು  ಪ್ರತಿ ನಿತ್ಯ  ಇಂತಹ  ವೀಡಿಯೋಸ್ ಬೇಕು  ಸರ್  ತುಂಬಾ ಧನ್ಯವಾದಗಳು,Positive,Not_offensive
1712,Dislike madiroeu pakka Hollywood heroine fans,Negative,Offensive_Targeted_Insult_Group
2062,God bless you Sir..nNimage olleyadagali ........,Positive,Not_offensive
4314,Super bro sari yagi heldde,Positive,Not_offensive
6122,ಕಂಕಣ ಸೂರ್ಯ ಗ್ರಹಣದ ಸಮಯದಲ್ಲಿ ಯಾರ್ ಯಾರ್ ನೋಡ್ತಿದ್ದಿರಾ...,Mixed,Not_offensive
7072,ಸುಂದರವಾದ ಹಾಸ್ಯ ಕಥೆ,Positive,Not_offensive
433,@Nandi Parthasarathi ಎಷ್ಟು ರೇಟು ಒಂದು ರಾತ್ರಿ ಬ ಸಾಕು,Negative,Offensive_Targeted_Insult_Individual
1635,DIA  u ಖುಷಿ,Positive,Not_offensive
2005,Full gichhh Madi nod anaa mast,Negative,Not_offensive
436,@Nandi Parthasarathi ಓಹೋ ನಂದಿನಿ ನಿಂದು ಮಿಲ್ಕ್ ಪಾರ್ಲರ್ ಬೇರೆ ಇದಿಯಾ,Negative,Offensive_Targeted_Insult_Individual
104,2nd song(Narayana) releasing tomorrow @11,unknown,Not_offensive
6404,ತುಂಬಾ ಚೆನ್ನಾಗಿ ವಿಚಾರ ಸಂಕಿರಣ ಮೂಡಿಸಿದ್ದಾರೆ  ಭಾರತ ಪ್ರಪಂಚದಲ್ಲಿ ಹಿಂದೆ ಉಳಿಯಲು ರಾಜಕೀಯ ವ್ಯವಸ್ಥೆ ಒಂದು ಪ್ರಬಲ ಕಾರಣ  ಪಕ್ಷ ಪಾತ ಸ್ವಜನ ಸೌಮ್ಯತೆ ಸಹ ಕಾರಣ ಎಂಬುದು  ತಿಳಿಸಿದ್ದಾರೆ nಕೌಶಲ್ಯ ಅಭಿವೃದ್ಧಿಗೆ ಹೇಚ್ಚಿನ ಮಹತ್ವ ಕೊಡಬೇಕಾಗಿದೇ   ಎಂಬುದು ಸಹ ಸತ್ಯ,Positive,Not_offensive
2503,Iddu benki,Positive,Not_offensive
2113,Guru Chinese mobile yen madodu,Negative,Not_offensive
232,@Creative Kannadiga tysm Anna....nivu comment madidakke...bt sry Anna...bcaz nan insta use madalla,Positive,Not_offensive
1042,All the best DBOSS darshan fans Kade endaa,Positive,Not_offensive
1773,E jana thav sathru kuda Tiktok na mathra uninstall madola ansuthe 🤦 kelsa ildhe showoff goskara tiktok madi china davrna belstisdre jothege tham mana maryade na halmadkotidare thu en jananappa ige roast madi bro tiktok madorgella.,Negative,Offensive_Targeted_Insult_Other
4027,Sir prajakeeya'kke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide,Positive,Not_offensive
1853,En Anna nim mathgalu Mika 🤣🤣🤣🤣instadalli sigtave bidi anna,Positive,Offensive_Targeted_Insult_Individual
2012,Full movie upload madri.. Ofter release pls,Positive,Not_offensive
6261,ಗುರುಗಳೇ  ನನ್ನ ಹೆಸರು ಗವೀಶ್  ಕೊಪ್ಪಳ.nನಾನು ಚಿಕ್ಕವನಿದ್ದಾಗ ತೊಗರಿ ತಿಪ್ಪನ ಕಥೆಯನ್ನು  ಕೇಳಿದ್ದೆ,Positive,Not_offensive
525,@P h Ahamad Bava ಅಣ್ಣ ಒಂದೆರಡು ಪದ ಬಿಟ್ಟು ಇನ್ನೂ ಉಳಿದ ಪದ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಇದೆ ಅಲ್ವಾ?,Mixed,Not_offensive
5967,ಈ ಚಿತ್ರ ಪ್ರಜ್ವಲ್ ಅವ್ರ ಕ್ಯರಿಯರ್ ಚೇಂಜ್ ಮಾಡೋ ಹಾಗೆ ಕಾಣ್ತಿದೆ ರಾಕಿ ಭಾಯ್ ಯಶ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಶುಭಾಶಯಗಳು🤗🤗🤗,Positive,Not_offensive
1193,Avane nam huduga.,Positive,Not_offensive
4821,Thriller Movie Andre ee Tara Irbeku,Positive,Not_offensive
2562,In ond trip nodbeku but but sinama chenge madbittru olle movi ge olle respans illa Nam karnatakadalli,Positive,Not_offensive
528,@Pavan Pavan nanu ivag nodidnalla adakke hakide 383k+like hagiddo  adakke comment madide tapputilkobedi okk naaaa,Negative,Not_offensive
6011,ಈಗ ನಿಜವಾದ ನಾಯಕ PRAJWAL  ಯಾರ್ಯಾರು ಕಾಯ್ತಾ ಇದ್ದೀರಾ ಒಂದು ಲೈಕ ಮಾಡಿ,Mixed,Not_offensive
2280,Helodannu kadime madu antialla desha uddarane,Negative,Offensive_Targeted_Insult_Individual
6320,ಜೀವನ ಬಹಳ ಚೆನ್ನಾಗಿ ಅರ್ಥ ಮಾಡಿಕೊಂಡಿದ್ದೀರ ಬಹಳ ಸರಳ ಜೀವಿ,Positive,Not_offensive
6321,ಜೀವನದಲ್ಲಿ ಶ್ರದ್ಧೆ ಮುಖ್ಯ.....  ಶ್ರದ್ಧೆ    ನಮ್ಮನ್ನು ಯಶಸ್ಸಿನ ಬೆನ್ನ ಹತ್ತುತ್ತಿಸುತ್ತದೆ.....,Positive,Not_offensive
4077,Song chindi chitranna guru,Positive,Not_offensive
1171,Ashwath avrne noddag aythu.,Positive,Not_offensive
3132,Nakkan benki guru,Positive,Not_offensive
264,@Entertainment Gaming ನಂಗೆ ಎಲ್ಲೋ ಕಾಣಿಸ್ತಾ ಇಲ್ವೇ ಇಲ್ಲ,Mixed,Offensive_Targeted_Insult_Individual
1787,E song super and handsome step super annowru like madi,Positive,Not_offensive
1286,Barri dabba movie ne unn maado du,Negative,Offensive_Targeted_Insult_Group
4451,Super movie yaa......,Mixed,Not_offensive
70,100M AAgle bek ..,Positive,Not_offensive
1527,Charitre srustiso avatara.....,Positive,Not_offensive
2735,Kannada ne best adrallu kannada songs adre hen andkondodira,Positive,Not_offensive
3107,My favorite song in 2019 is Taaja samachara   ಸಾಹಿತ್ಯ ಪ್ರಿಯರೇ ಒಮ್ಮೆ ಈ ಹಾಡು ಕೇಳಿದ್ರೆ ಕೇಳ್ತಾನೆ ಇರ್ಬೇಕು ಅನ್ಸುತ್ತೆ....  Everybody watch this,Positive,Not_offensive
7171,ಸೂಪರ್‌  ಸಾಂಗ್,Positive,Not_offensive
2181,Hahahaha  LoL nIdiot beggar get lost.,Negative,Offensive_Targeted_Insult_Other
5292,Yen super song guru..20 times kelde innu kelbeku anstide..BGM super,Positive,Not_offensive
3725,Rakshit setty avru ondu D boss ge script barudre eng erutte d boss fans,Positive,Not_offensive
420,@Nandi Parthasarathi nanna shanta samana Bollywood Hollywood sulemagne modlu ninna ಮಾತೃಭಾಷೆ ಬೆಳಸು adu yare hero aagli,Negative,Offensive_Targeted_Insult_Individual
3422,Nivella aa Udyonmukhi Rajakarani kadeyavara,Mixed,Offensive_Targeted_Insult_Group
5970,ಈ ಚಿತ್ರದಲ್ಲಿ ಯಾವ್ ರೇಂಜ್ ಗೆ ಗ್ರಾಫಿಕ್ಸ್ ಮಾಡಿದ್ದಾರೆ ಅಂತ ಮತ್ತೊಬ್ಬ vfx ಆರ್ಟಿಸ್ಟ್ ಗೆ ಗೊತ್ತಾಗೋದು,Mixed,Not_offensive
2241,Handsup shoot madbeka dishkaew,unknown,Not_offensive
4417,Super jai kanadiga,Positive,Not_offensive
1740,Diya..... idond name alla,Negative,Offensive_Untargetede
6579,ನಾನು ಕೂಡ ಬಿಟ್ಟಿಯಾಗಿ ನೋಡಿದೇನಿ ನನಗೆ ಒಂತರಾ ಮನಸ್ಸಿಗೆ ನೋವು ಆಗ್ತಾ ಇದೆ ನಾನು ಸಿನಿಮಾ ಗೆದ್ದಿದೆ ಬಟ್ ದುಡ್ಡು ಬರಲಿಲ್ಲ ಸಿನಿಮಾಗೆ,Negative,Offensive_Untargetede
7139,ಸೂಪರ್ ಬ್ರೋ ನಿಜ,Positive,Not_offensive
2177,Haha. Nin movie nodilla. 🤣🤣🤣,Negative,Offensive_Targeted_Insult_Individual
5857,ಇಂಥ ಒಳ್ಳೆ ಸಾಂಗ್ ಅನ್ನು ಕೂಡ dislike ಮಾಡ್ತಾರಲ್ಲ ಆವರು ಮನುಷ್ಯ ಜನ್ಮಕ್ಕೆ ನಿಜವಾಗಿಯು ಸೇರಿಲ್ಲ ಅನ್ಸುತ್ತೆ ನಿಮ್ಮ ಕೈ ಅಲ್ಲಿ ಲೈಕ್ ಮಾಡುಕೆ ಆಗಲ್ಲಾ ಅಂದ್ರೆ ಸುಮಸುಮ್ನೆ ಇಂಥ ಸಾಂಗ್ ಗೆ dislike matra ಮಾಡಬೇಡಿ,Negative,Offensive_Targeted_Insult_Group
3162,Namm department nalli clark kaali adaaw yaradru candidates edry hyli n9901919091 WhatsApp msg maadriii,unknown,Not_offensive
6489,ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ ನೀವು ಪುರಾಣದಲ್ಲಿ ಬರುವ  ಯಲ್ಲರಿಗೂ ಬಹುವಚನ ದಿಂದ ಮಾತಾಡ್ತಿರ ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ,Positive,Not_offensive
4436,Super movie 200days paka super guru see once dis movie,Positive,Not_offensive
1722,Dislike ಮಾಡೋ ಮೂರ್ಖರ ಬುದ್ದಿಗೆ ಶ್ರದ್ಧಾಂಜಲಿ.,Negative,Offensive_Targeted_Insult_Group
4059,Slow poison song hit like if u agree,unknown,Not_offensive
6787,ಬ್ರೋ ಲೈಕ್ appa ಬ್ಯಾನ್ ಆಗಿಲ್ಲ ಯಾವಾಗ ಆಗುತ್ತೆ,Mixed,Not_offensive
391,@Nagaraja P neev nodideera antha kelthiyallappa neenu,Negative,Offensive_Targeted_Insult_Individual
3852,Sakath anna nim haadu,Positive,Not_offensive
5280,Yen bro nivu supper nim fan agbitte,Positive,Not_offensive
152,@*V C R* guru edunna modlu bale fansge helu avru start madidare nau end madthivi,Negative,Not_offensive
2298,Hi sir supnHasage  eddastu kalu chachu  nAnno gadae evattu nim nudigalu gottyatyu sirnUr grate sir,Positive,Not_offensive
3491,Odeya film yeng edhe nodudra,Mixed,Not_offensive
6273,ಚನ್ನಾಗಿದೇ ಇದು ತೋಗರಿ ತಿಪ್ಪನ ಕತೆ,Positive,Not_offensive
6207,ಕೆಟ್ಟ ಮೇಲೆ  ನೆ ಬುದ್ಧಿ ಬರೋದು ...,Negative,Not_offensive
5063,Vilan ಬಳಿ ಒಂದು coin urali barhttalla,Mixed,Not_offensive
5550,rana song guru my boss singging vijay prakash love  u sar,Positive,Not_offensive
2755,Kannadadalli mado badlu hindinalli madidre superrhit agodhu,Negative,Offensive_Untargetede
508,@Nature  You tube ಕನ್ನಡದಲ್ಲಿ ಹೇಳಬೇಕೆಂದರೆ - ನೀನು ಕೊಳವೆ .....🤣🤣,Positive,Offensive_Targeted_Insult_Individual
3384,Nimdu bari ide aagoythu telegu avaru copy maadudre tm movie nodthira Kannada davru own aagi maadudru kyathe thegithira,Negative,Offensive_Targeted_Insult_Other
6005,ಈ ಹಾಡು ತುಂಬಾ ಇಷ್ಟವಾಯ್ತು,Positive,Not_offensive
6059,ಎಲ್ಲಿಂದನೋ ಕದ್ದಿರೋ ಹಾಗಿದೆ...🤔🤔,Negative,Not_offensive
4142,Still no 1 trending,Positive,Not_offensive
1319,Best madali olle  belavanige next level sandalwood,Positive,Not_offensive
1896,Eno ontara chnnagide annoru like madi🤔🤔🤔🤔🤔🤔🤔🤔🤔,Positive,Not_offensive
33,. .nanu 10 bari nodidene. nSuper.,Positive,Not_offensive
5746,ಅಣ್ಣನ ಮೂವಿ ತಿಕ್ಲ ಪೊರ್ಕಿ ಹುಚ್ಚ ವೆಂಕಟ್ ಆಡಿಯೋ ಲಾಂಚ್ ಮಾರ್ಸ್ ಅಲ್ಲಿನ ಅಥವಾ ನೆಪ್ಟ್ಯೂನ್ ನಲ್ಲಿನ,Positive,Not_offensive
912,@Ŕävîñđŕå_02_GøWđřú bro evnu venkatesh kulkarni avr comments ge reply madidane adanna odudre nin education EE flop,Negative,Not_offensive
325,@Kumara Kantirava avn heldange 1st time hange ansodhu..,Positive,Not_offensive
4143,Still trending No1...nAfter 4days....,Positive,Not_offensive
2830,Le Bindu naayi phone all radi togonda aaytha avarge adara laba sikatu aadare tik tok end dinaa avarage laba baratte enna mele yaava vastu Togo beda China vastu ninu Togo beda Naana antu tiragi nodalla Ni ale tuu,Negative,Offensive_Targeted_Insult_Individual
6037,ಎನ್ ಮಾಡೊಕಾಗುತ್ತೆ ಕೆಲವರು ನಮ್ಮೋರೆ   ತೆಲುಗು ಯಾವುದಾದರು ಸಾಂಗ್ ಟ್ರೈಲರ್ ಬಂದ್ರೆ ನಾಯಿ ಕಾಯೊ ಹಾಗೆ ಕಾಯ್ತಿರ್ತರೆ,Negative,Offensive_Targeted_Insult_Group
5845,ಆಶಿಕ ಸುಮ್ನೆ ನೀವೇ ಮದುವೆ ಆಗಿ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅವರಿಗೆ .... ಜೋಡಿ ತುಂಬಾ ಚೆನ್ನಾಗಿರುತ್ತೆ....nnIn beauty you >>>>>>>>>>•••• Rashmika,Positive,Not_offensive
4637,Super ತೋಗರಿ ತೀಪ್ಪ,Positive,Not_offensive
3641,Prajakeeya barle beku,unknown,Not_offensive
1072,Amazing very nice prajwal life ge ondu hosa tiruvu koduvantaha cinima idu,Positive,Not_offensive
5512,movie was legendary. ninu itihasa baryoke bandirodu maga. kannada indutry history baredre eradu part irutte ondu rakshit baroku munche mattondu rakshit  bandadmele,Positive,Not_offensive
1421,Bro adru evaga bere language enda open madkond use madtaidaralla bro 🤦‍....thumba janridare nam jana e tara vishyadalli..haladavru🤦‍,Negative,Offensive_Targeted_Insult_Group
3680,Pruthvi avara acting anthu nanna avarisikondu bittide .nanna friend helidda thayi sentimentalli avara acting nodi ninu emotional agthiya nodu antha.adre nanu nanu aagalla andidde.adre aa scene nodbittu nanu ankonde. evarige national award kodbeku antha.,Positive,Not_offensive
1961,Film hit ahagokai e tharadha song irbaiku,Positive,Not_offensive
5120,What a music ... nWhat a lyric...nWhat a choreography.... nWhat a camera working......nTotally awesome ... nನಿಜಕ್ಕೂ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ... nಅಜನೀಶ್ ಗುರುಗಳೇ ನಿಮಗೊಂದು ಸಲಾಂ...nರಕ್ಷಿತ್ ಶೆಟ್ರೆ ಒಳ್ಳೇದಾಗಲಿ ..nಮೂರು ವರ್ಷ ಪಟ್ಟ ಶ್ರಮ ಫಲಕೊಡುವಂತಾಗಲಿ..... All the best to you sir,Positive,Not_offensive
724,@Vinay Vn  nani gentle men??,unknown,Offensive_Targeted_Insult_Individual
2612,Ivnu soole maga pakka. Ivnu yash fan bandu hen kelsa madthavne nodro soole maga,Negative,Offensive_Targeted_Insult_Individual
7199,ಹಾಡು ಅತ್ಯದ್ಭತವಾಗಿ ಬಂದಿದೆ.. ಸಾಹಿತ್ಯ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿ ಇದೆ..,Positive,Not_offensive
6633,ನಿಜವಾದ ಸ್ಟಾರ್ ಅಂದ್ರೆ ನೀವು,Positive,Not_offensive
2535,Idu charitre srustiso avatara super sir,Positive,Not_offensive
6376,ಡೈರೆಕ್ಟರ್ ಗೆ  ಶರಣು,Positive,Not_offensive
2159,Guruve en creative sharanu love u kannadiga,Positive,Not_offensive
4109,Sooper pa Rakshit.  mukali haryanga talent paa nindu,Positive,Not_offensive
7148,ಸೂಪರ್ ಸಾಂಗ್ ಆಲ್ ದಿ ಬೆಸ್ಟ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅಣ್ಣ,Positive,Not_offensive
3440,Nkn last dialogue lit,Negative,Not_offensive
1461,Bro nivu yava game adtaiyidara please comment,Mixed,Not_offensive
1974,Finally sonu gowda b day dhinane tiktok ban aythu,Positive,Offensive_Targeted_Insult_Individual
1046,All the best n      Yella  kannadigana paravagi nYella nataru nammavare,Positive,Not_offensive
4393,Super guru ninu..,Positive,Not_offensive
6018,ಉತ್ತರ ಕನ್ನಡದ ಹೆಮ್ಮೆ ಯ ನಟ್ and ನಮ್ಮ ಮೆಚ್ಚಿನ,Positive,Not_offensive
321,@Kirankumarkk Gowda muchtiya solpa?,Negative,Offensive_Targeted_Insult_Individual
1856,En dailouges guru nsuper gurunYou rocking gurunNin dailouges keludmele nim channel subscribe maadthiddeeni hinge continue maadu gurunInnondibru dingurbilligalu tiktok li buildup kodthidru avrnu ee videodalli topgersidre chanaagirthitthu,Positive,Not_offensive
7007,ಸರಿಯಾದ planning ಇರಬೇಕು. ನಮ್ಮ ರಾಜ್ಯದವರು  Business ನಲ್ಲಿ improve ಆಗ್ಬೇಕು.,Negative,Offensive_Targeted_Insult_Individual
5403,dandega takka maga sirnjhevana annodu hege anta thorise kottavru neu sirnyellanhayaka natarante sokeman nevalla sir,Mixed,Not_offensive
3432,Nivu thumba super,Positive,Not_offensive
7017,ಸರ್ ದಯವಿಟ್ಟು Red FM ನಲ್ಲಿ  ನಿಮ್ಮ ಹೆಸರು ಏನಿತ್ತು ಹೇಳಿ....ನಾನು Red FM ಯಾವತ್ತೂ ಕೇಳ್ತೀನಿ....n ನಾಗರಾಜ್ or ವರುಣ್ ???n    Pls Admin let me know....,Mixed,Not_offensive
3335,Nija helbekandre ee song yako sync aagtilla movie trailer type ge....,Negative,Offensive_Targeted_Insult_Other
302,@Kiccha Vitthal ನಿಮ್ಮ ಅವ್ವ ಗಲೀಜ್ ಅಂತೇ,Negative,Offensive_Targeted_Insult_Individual
6353,ಟ್ರೊಲ್ ಅನ್ನ ಸರಿಯಾಗಿ ಉಪಯೋಗಿಸ್ಥಹಿದಿರ. ಸೂಪರ್,Positive,Not_offensive
2876,Looks like Rango Movie,unknown,Offensive_Untargetede
6540,ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗ ವಿಶ್ವ ಮಟ್ಟದಲ್ಲಿ ಬೆಳಗಲಿ ಅನ್ನೋ ಆಶಯ ಇದ್ದವರು ಲೈಕ್ ಮಾಡಿ.,Positive,Not_offensive
1468,Bro super aagi Ode kottidiya manga nann makkalige...,Negative,Offensive_Targeted_Insult_Group
5663,tandhege takka maga,Positive,Not_offensive
1228,Awesome song ..guru ವಿಜಯ್ sir ವಾಯ್ಸ್ superb,Positive,Not_offensive
7077,ಸುಪರ ತೊಗರಿ ತಿಪ್,Positive,Not_offensive
6473,ದಿಯಾ' ಸಿನಿಮಾ ನಾಯಕಿಗೆ 'ಅತ್ಯುತ್ತಮ ನಟಿ' ಅವಾರ್ಡ್ ಕೊಡಲಿಲ್ಲ ಅಂದ್ರೆ ಆಯ್ಕೆ ಸಮಿತಿಗೆ ಮೆಟ್ಟ್ ಮೆಟ್ಟಲ್ಲೇ ಹೊಡಿತೀವಿ.,Positive,Offensive_Targeted_Insult_Other
4043,Sir ಗೊತ್ತು sir ಈ video ಮಾಡಿ 1ವಾರ ಆಗಿದೆ ಅದುನ್ನ ಮೊದ್ಲು ನೋಡಿ sir,Positive,Not_offensive
