,translated,comment,sent,off
6004,ಈ ಹಾಡವು ಆರಿಟ್ರೆ ಸಲಿಂಗಣ,ಈ ಹಾಡು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುತ್ತೆ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ,Positive,Not_offensive
787,@ ಕಿಂಗ್ ಕೆ .... ಎಸ್ಎಲ್ಎಲ್ಡಕ್ಷರಚಿಗಳು ತೀರ ....,@king k ....ಎಲ್ಲಾ ರಾಜಕಾರಣಿಗಳು ಕಳ್ಳರೆ.... ಇದ್ದುದರಲ್ಲಿ ಬಿಜೆಪಿ ಯವರು ಕಡಿಮೆ ಕಳ್ಳರು....,Negative,Offensive_Targeted_Insult_Group
5431,ಹಾ ನಾಮ್ ಮನೆಗು ಬಂಚಿಡಾ ...,ha nam manegu bandiida ...,Negative,Offensive_Untargetede
7154,ಸಸ್ಪೆರ್ ಚಾಂಗ್ ........ ತುರ್ಗಾಟ್,ಸೂಪರ್ ಸಾಂಗ್........ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತು.....  love you rakshith bhai,Positive,Not_offensive
1198,ಏವನ್ ಸರ್ವನ್ ನಾರಾಯಣ,Avane sriman narayana,unknown,Not_offensive
5931,ಎಸ್ಎಲ್ಎಲ್ಇಎಲ್ಎಲ್ಐಸಿ ಸ್ಟಂಟ್ ಇನ್ಫೈಡ್ ಅಗ್ಡೆಲ್ ಸಿಂಗೈರ್ ಹ್ಯಾಕ್ಟರೇಶನ್,ಇದೆಲ್ಲ ಪಬ್ಲಿಸಿಟಿ stunt ಇವ್ರ ಅಪ್ಪ ಮಾಡಿದ್ ದುಡ್ಡೇಲ್ಲ ಚಿಂದಿ ಉಡಾಯ್ಸಿ ಇವಾಗ ಕಳ್ಳ ಕಣ್ಣೀರ್ ಹಾಕ್ತಾವ್ನೆ,Negative,Not_offensive
3468,ಸಂಖ್ಯೆ 1 ಚಲನಚಿತ್ರ,Number 1 movie,Positive,Not_offensive
5218,ಯಪ್ಪ ಭಯಾ ಅಗುಟ್ಟೆ,Yappa bhaya agutte,Mixed,Offensive_Untargetede
6340,ಟಿಕ್ ಟಾಕ್ ಬ್ಯಾನ್ ಮಾಡಿದ ನಂತರ ವಿಷಯ ವಿಷಯ. ಫಿಶಿಸ್ ಮತ್ತು ಜಗ್ಗು,ಟಿಕ್ ಟಾಕ್ ಬ್ಯಾನ್ ಮಾಡಿದ್ದೂ ಒಳ್ಳೆ ವಿಷಯ.  ಚೈನೀಸ್ ಅಪ್ ಗಳೆಲ್ಲ  ಬ್ಯಾನ್ ಮಾಡಿದ್ದೂ ತುಂಬಾ ತುಂಬಾ ಒಳ್ಳೆ ವಿಷಯ.,Positive,Not_offensive
6421,ತೋರುಗೈ ಎಡಗೈ,ತೂಗರಿ ತಿಪ್ಪ ಉತ್ತರ ಕರ್ನಾಟಕ ಜಾನಪದ ಹಾಸ್ಯಮಯವಾದ ಕಥೆ ತುಂಬಾ ಅದ್ಬುತವಾದದ್ದು,Positive,Not_offensive
977,ವಾಸ್ತವವಾಗಿ ಇದು ಒಂದು ಹಾಡು ಚಂದ್ರ ...,Actually ಇದು ಇದು song  ಅಂದ್ರೆ...🤘🤘 ಏನಂತೀರಿ ಗೆಳಯರೆ.,Positive,Not_offensive
4471,ಸೂಪರ್ ಪಾಕ್ಕೂ ನೆತಿನಿ,Super pakka nodthini,Positive,Not_offensive
5852,ಅಂತಹ ಸಿನಿಮಾಮತಿ,ಇಂತಹ ಅದ್ಭುತ ಸಿನಿಮಾಯಳು ಮತ್ತು ಹಾಡುಗಳು ಕನ್ನಡದಲ್ಲಿ ಹೆಚ್ಚು ಹೆಚ್ಚು ಬರಲಿ  ಎಂದು ಎಲ್ಲರೂ ಹಾರೈಸೊಣ,Positive,Not_offensive
7010,ಸರ್ ಪ್ಲಾಸ್ ಸಂಪರ್ಕ 9743436877,ಸರ್ pls contact 9743436877,Positive,Not_offensive
833,@prithvi ನಾಯಕ್ ಚಪ್ಪರ್ ಬೋಳಿಮಕ್ಳ .. ಲುಚ್ಛನ್ ಫ್ಯಾನ್ಸ್ ಬುದ್ದಿ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತೆ ಎಲ್ಲಿ ಹೋದ್ರು ಬರಿ ಉರ್ಕೋಳ್ಳೋದೇ ಆಯ್ತು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ .. ನಿಮ್ಮ ಲುಚನ್ಗೆ ಹೇಳ್ದ್ರೋ ಒಂದಾದ್ರು ಹಿಟ್ ಸೀರಿಯಲ್ ಕೊಡು ಅಂತಾ ಪೈಲ್ವಾನ್ ಸೀರಿಯಲ್ ಆಲ್ಸೋ ಫ್ಲಾಪ್,@prithvi nayak ಚಪ್ಪರ್ ಬೋಳಿಮಕ್ಳ.. ಲುಚ್ಛನ್ ಫ್ಯಾನ್ಸ್ ಬುದ್ದಿ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತೆ ಎಲ್ಲಿ ಹೋದ್ರು ಬರಿ ಉರ್ಕೋಳ್ಳೋದೇ ಆಯ್ತು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.. ನಿಮ್ಮ ಲುಚನ್ಗೆ ಹೇಳ್ದ್ರೋ ಒಂದಾದ್ರು ಹಿಟ್ ಸೀರಿಯಲ್ ಕೊಡು ಅಂತಾ ಪೈಲ್ವಾನ್ ಸೀರಿಯಲ್ ಆಲ್ಸೋ ಫ್ಲಾಪ್,Negative,Offensive_Targeted_Insult_Group
3859,ಸಕ್ಕತ್ ಸಾಂಗ್ ಗುರು,Sakkath song guru,Positive,Not_offensive
5510,ಚಲನಚಿತ್ರವು ಒಸಾಮ್ ಹಾಡು,movie is song Osam,Positive,Not_offensive
3385,ನಿಷ್ಠೆ ನಿಜಾವಗಲು ನಥಿಯಾಗಿಡ್ಡರಾ,Nimge Nijavagalu netiyagiddra,Positive,Not_offensive
7220,ಹೇಡಿ ಅಶ್ವತ್ಥಾಮ ಚಕ್ರವ್ಯೂಹದಲ್ಲಿ ಅಭಿಮನ್ಯುವನ್ನು ಎದುರಿಸಲಾಗದೆ ಪ್ರಾರಂಭದಲ್ಲೇ ಜೀವ ಉಳಿಸಿಕೊಳ್ಳುವ ಸಲುವಾಗಿ ಪಲಾಯನ ಮಾಡಿಬಿಟ್ಟ .... ಕೊನೆಯಲ್ಲಿ ಲೋಫರ್ ದುರ್ಯೋಧನನ ಮಾತು ಕೇಳಿ ಶಾಪಗ್ರಸ್ಥನಾಗಿ ಕಲಿಯುಗದಲ್ಲೇ ತಿರುಗಾಡುತ್ತಿದ್ದಾನೆ .... ಒಂದು ವೇಳೆ ನನ್ನ ಕೈಗೆನಾದರೂ ಸಿಕ್ಕರೆ ಅವನನ್ನು ಛೇಡಿಸದೆ ಬಿಡಲಾರೆನು,ಹೇಡಿ ಅಶ್ವತ್ಥಾಮ ಚಕ್ರವ್ಯೂಹದಲ್ಲಿ ಅಭಿಮನ್ಯುವನ್ನು ಎದುರಿಸಲಾಗದೆ ಪ್ರಾರಂಭದಲ್ಲೇ ಜೀವ ಉಳಿಸಿಕೊಳ್ಳುವ ಸಲುವಾಗಿ ಪಲಾಯನ ಮಾಡಿಬಿಟ್ಟ.... ಕೊನೆಯಲ್ಲಿ ಲೋಫರ್ ದುರ್ಯೋಧನನ ಮಾತು ಕೇಳಿ ಶಾಪಗ್ರಸ್ಥನಾಗಿ ಕಲಿಯುಗದಲ್ಲೇ ತಿರುಗಾಡುತ್ತಿದ್ದಾನೆ.... ಒಂದು ವೇಳೆ ನನ್ನ ಕೈಗೆನಾದರೂ ಸಿಕ್ಕರೆ ಅವನನ್ನು ಛೇಡಿಸದೆ ಬಿಡಲಾರೆನು,Negative,Offensive_Targeted_Insult_Individual
2218,ಕಣ್ಣಾಡಿಗರು,Hands up kannadigaru🤚,Mixed,Not_offensive
5870,ಕೆಲವು ಕಿತ್ತರದ,ಇದು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಚರಿತ್ರೆ ಸೃಟಿಸೂ ಅವತಾರ ಯಾರ್ ಅವನು .......... (ಅವನೇ ಶ್ರೀಮನಾರಾಯಣ) All The Best D B055 fan,Positive,Not_offensive
456,@Nandi Parrhasarathy ನಿಂಡ,@Nandi Parthasarathi ನಿ ಮುಂಡೆ,unknown,Offensive_Targeted_Insult_Individual
410,@Nandi Parthasarathy Illa Kgfuck Aiythu,@Nandi Parthasarathi illa kgfuck aythu,Negative,Offensive_Targeted_Insult_Group
6523,ನನ್ನ ಪ್ರಕಾರ ಈಈಮಮ,ನನ್ನ ಪ್ರಕಾರ ಈ ಫಿಲ್ಮ್ ಅನ್ನು re-release ಮಾಡಸಬೇಕು,Positive,Not_offensive
7014,ಸರಿ ಈ ತರ,ಸರ್ ಈ ತರಹ  ಸ್ಪೀಚ್ ಬೇಕು  ಪ್ರತಿ ನಿತ್ಯ  ಇಂತಹ  ವೀಡಿಯೋಸ್ ಬೇಕು  ಸರ್  ತುಂಬಾ ಧನ್ಯವಾದಗಳು,Positive,Not_offensive
1712,ಮ್ಯಾಡಿರೋಯ್ ಪಾಕ್ಕಾ ಹಾಲಿವುಡ್ ನಾಯಕಿ ಅಭಿಮಾನಿಗಳನ್ನು ಇಷ್ಟಪಡದಿರಿ,Dislike madiroeu pakka Hollywood heroine fans,Negative,Offensive_Targeted_Insult_Group
2062,ದೇವರು ನಿನ್ನನ್ನು ಆಶೀರ್ವದಿಸುತ್ತಾನೆ.,God bless you Sir..nNimage olleyadagali ........,Positive,Not_offensive
4314,ಸೂಪರ್ ಬ್ರೋ ಸಾರಿ ಯಾಗಿ ಹೆಲ್ಡೆಡ್,Super bro sari yagi heldde,Positive,Not_offensive
6122,ಕಾಕಥ್ಯು ಔದ್ಯದ ಸಂಖ್ಯೆ,ಕಂಕಣ ಸೂರ್ಯ ಗ್ರಹಣದ ಸಮಯದಲ್ಲಿ ಯಾರ್ ಯಾರ್ ನೋಡ್ತಿದ್ದಿರಾ...,Mixed,Not_offensive
7072,ಸುಲಭವಾದ ಹಾಸ್ಯದ ಕಾಡೆ,ಸುಂದರವಾದ ಹಾಸ್ಯ ಕಥೆ,Positive,Not_offensive
433,@Nandi parrhasarathy @nand,@Nandi Parthasarathi ಎಷ್ಟು ರೇಟು ಒಂದು ರಾತ್ರಿ ಬ ಸಾಕು,Negative,Offensive_Targeted_Insult_Individual
1635,ಡಯಾ ಯು ಶುಚಿ,DIA  u ಖುಷಿ,Positive,Not_offensive
2005,ಪೂರ್ಣ ಜಿಚಿಹ್ ಮಡಿ ಅನ್ಯಾ ಮಾಸ್ಟ್,Full gichhh Madi nod anaa mast,Negative,Not_offensive
436,@Nandi parrhasarathy ಓಓಓ,@Nandi Parthasarathi ಓಹೋ ನಂದಿನಿ ನಿಂದು ಮಿಲ್ಕ್ ಪಾರ್ಲರ್ ಬೇರೆ ಇದಿಯಾ,Negative,Offensive_Targeted_Insult_Individual
104,2 ನೇ ಸಾಂಗ್ (ನಾರಾಯಣ) ನಾಳೆ @ 11 ರ ಬಿಡುಗಡೆಯಾಗುತ್ತಿದೆ,2nd song(Narayana) releasing tomorrow @11,unknown,Not_offensive
6404,ತುಂಬಾ ಚೆನ್ನಾಗಿ ವಿಚಾರ ಸಂಕಿರಣ ಮೂಡಿಸಿದ್ದಾರೆ ಭಾರತ ಪ್ರಪಂಚದಲ್ಲಿ ಹಿಂದೆ ಉಳಿಯಲು ರಾಜಕೀಯ ವ್ಯವಸ್ಥೆ ಒಂದು ಪ್ರಬಲ ಕಾರಣ ಪಕ್ಷ ಪಾತ ಸ್ವಜನ ಸೌಮ್ಯತೆ ಸಹ ಕಾರಣ ಎಂಬುದು ತಿಳಿಸಿದ್ದಾರೆ ಎನ್ ಕೌಶಲ್ಯ ಅಭಿವೃದ್ಧಿಗೆ ಹೇಚ್ಚಿನ ಮಹತ್ವ ಕೊಡಬೇಕಾಗಿದೇ ಎಂಬುದು ಸಹ ಸತ್ಯ,ತುಂಬಾ ಚೆನ್ನಾಗಿ ವಿಚಾರ ಸಂಕಿರಣ ಮೂಡಿಸಿದ್ದಾರೆ  ಭಾರತ ಪ್ರಪಂಚದಲ್ಲಿ ಹಿಂದೆ ಉಳಿಯಲು ರಾಜಕೀಯ ವ್ಯವಸ್ಥೆ ಒಂದು ಪ್ರಬಲ ಕಾರಣ  ಪಕ್ಷ ಪಾತ ಸ್ವಜನ ಸೌಮ್ಯತೆ ಸಹ ಕಾರಣ ಎಂಬುದು  ತಿಳಿಸಿದ್ದಾರೆ nಕೌಶಲ್ಯ ಅಭಿವೃದ್ಧಿಗೆ ಹೇಚ್ಚಿನ ಮಹತ್ವ ಕೊಡಬೇಕಾಗಿದೇ   ಎಂಬುದು ಸಹ ಸತ್ಯ,Positive,Not_offensive
2503,Iddu Benki,Iddu benki,Positive,Not_offensive
2113,ಗುರು ಚೀನೀ ಮೊಬೈಲ್ ಯೆನ್ ಮಡೊಡು,Guru Chinese mobile yen madodu,Negative,Not_offensive
232,@Creative Kannadiga ಟೈಮ್ಸ್ ಅನ್ನಾ .... Nivu ಕಾಮೆಂಟ್ Madidakke ... ಬಿಟಿ sry anna ... bcaz nan insta ಬಳಸಿ madalla ಬಳಸಿ,@Creative Kannadiga tysm Anna....nivu comment madidakke...bt sry Anna...bcaz nan insta use madalla,Positive,Not_offensive
1042,ಎಲ್ಲಾ ಅತ್ಯುತ್ತಮ ಡಿಬೊಸ್ ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳು ಕೇಡ್ ಎಂಡಾ,All the best DBOSS darshan fans Kade endaa,Positive,Not_offensive
1773,ಇ ಜನೊನಾ ಥಾವ್ ಸತ್ರು ಕುಡಾ ಟಿಕ್ಟಾಲಾ ಅಸ್ಥಾಪಿಸು ಮಡೊಲಾ ಅನ್ಸುಥೆ ↑ ಕೆಲ್ಸಾ ಶಿಲ್ಶ್ ಶೋಆಫ್ ಗೋಸ್ಕರಾ ಟಿಕ್ಟಾಕ್ ಮಡಿ ಚೀನಾ ಡೇವ್ರಾ ಬೆಲ್ಟಿಸ್ಡರೆ ಜೋತೀಜ್ ಥಮ್ ಮಂನಾ ಮರಾಡ್ಕೋಟಿಡರೆ ಹೇಳುತ್ತಾರೆ,E jana thav sathru kuda Tiktok na mathra uninstall madola ansuthe 🤦 kelsa ildhe showoff goskara tiktok madi china davrna belstisdre jothege tham mana maryade na halmadkotidare thu en jananappa ige roast madi bro tiktok madorgella.,Negative,Offensive_Targeted_Insult_Other
4027,ಸರ್ ಪ್ರೆಜೆಕೆಯಾ'ಕೆ ಬೆಂಬಲ ಮಡಿ ಸರ್ ಡೈಲಿ 30sec Adru Adra Bagge Heli Start Madi Sur Pls eno ಸಹಾಯ ಅಗುಟ್ಟೆ ಚಂದಾದಾರ ಬಹಲಾ ಜನ IDE,Sir prajakeeya'kke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide,Positive,Not_offensive
1853,Enna nim mathgalu mika 🤣🤣🤣🤣instadalli sigtave bidi anna,En Anna nim mathgalu Mika 🤣🤣🤣🤣instadalli sigtave bidi anna,Positive,Offensive_Targeted_Insult_Individual
2012,ಪೂರ್ಣ ಚಲನಚಿತ್ರ ಅಪ್ಲೋಡ್ ಮ್ಯಾಡ್ರಿ .. ಆಫ್ಟರ್ ಬಿಡುಗಡೆ Pls,Full movie upload madri.. Ofter release pls,Positive,Not_offensive
6261,ಗುರಿಗಡ್ಡೆ ನನ್ನ ಹೆಸರು Gweprage. ಎನ್,ಗುರುಗಳೇ  ನನ್ನ ಹೆಸರು ಗವೀಶ್  ಕೊಪ್ಪಳ.nನಾನು ಚಿಕ್ಕವನಿದ್ದಾಗ ತೊಗರಿ ತಿಪ್ಪನ ಕಥೆಯನ್ನು  ಕೇಳಿದ್ದೆ,Positive,Not_offensive
525,@P h ahamad bava ದಿಂಚು,@P h Ahamad Bava ಅಣ್ಣ ಒಂದೆರಡು ಪದ ಬಿಟ್ಟು ಇನ್ನೂ ಉಳಿದ ಪದ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಇದೆ ಅಲ್ವಾ?,Mixed,Not_offensive
5967,ಈ ಚಿತ್ರ ಪ್ರತ್ವಾಲೀನ ಸಾಧನ,ಈ ಚಿತ್ರ ಪ್ರಜ್ವಲ್ ಅವ್ರ ಕ್ಯರಿಯರ್ ಚೇಂಜ್ ಮಾಡೋ ಹಾಗೆ ಕಾಣ್ತಿದೆ ರಾಕಿ ಭಾಯ್ ಯಶ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಶುಭಾಶಯಗಳು🤗🤗🤗,Positive,Not_offensive
1193,ಅವೇನ್ ನಮ್ ಹುಡುಗಾ.,Avane nam huduga.,Positive,Not_offensive
4821,ಥ್ರಿಲ್ಲರ್ ಮೂವೀ ಆಂಡ್ರೆ ಇಇರಾ ಇರ್ಬೇಕು,Thriller Movie Andre ee Tara Irbeku,Positive,Not_offensive
2562,OND ಟ್ರಿಪ್ Nudbeku ಆದರೆ ಆದರೆ ಸಿನಾಮಾ Chenke Madle Movie Ge Olle RespansLaY Irlam Karnatakadalli,In ond trip nodbeku but but sinama chenge madbittru olle movi ge olle respans illa Nam karnatakadalli,Positive,Not_offensive
528,@ ಪವನ್ ಪವನ್ ನ್ಯಾನು ಐವಾಗ್ ನೋಡಿಡ್ನಾಲಾ ಅಡಾಕೆ ಹಾಕೈಡ್ 383 ಕೆ + ಹಕ್ಕೈಡಿ ಕಾಮೆಂಟ್ ಮ್ಯಾಡೈಡ್ ಟಪ್ಪಟಿಲ್ಕೋಬೆಡಿ ಓಕ್ ನಾಯಾ,@Pavan Pavan nanu ivag nodidnalla adakke hakide 383k+like hagiddo  adakke comment madide tapputilkobedi okk naaaa,Negative,Not_offensive
6011,ಇಂದಿನ ನಾಯಕ ಪ್ರಜ್ವಾಲ್ ಯಾರಾದ,ಈಗ ನಿಜವಾದ ನಾಯಕ PRAJWAL  ಯಾರ್ಯಾರು ಕಾಯ್ತಾ ಇದ್ದೀರಾ ಒಂದು ಲೈಕ ಮಾಡಿ,Mixed,Not_offensive
2280,ಹೆಲೋನಾರು ಕಡಿಯೊ ಮಡು ಆಂಟಿಯಾಲಿಲಾ ದೇಷಾ ಉಡ್ಡೇನ್,Helodannu kadime madu antialla desha uddarane,Negative,Offensive_Targeted_Insult_Individual
6320,ದಿವಾನ್ ಬಹರ ಚೆನ್ನಾಗ,ಜೀವನ ಬಹಳ ಚೆನ್ನಾಗಿ ಅರ್ಥ ಮಾಡಿಕೊಂಡಿದ್ದೀರ ಬಹಳ ಸರಳ ಜೀವಿ,Positive,Not_offensive
6321,ಜೀವನಾದ್ಯಮ ಶುಕ್ರವಾರ ..... ಶುಭಾಶಯ ಇನ್ನೊಮ್ಮೆ,ಜೀವನದಲ್ಲಿ ಶ್ರದ್ಧೆ ಮುಖ್ಯ.....  ಶ್ರದ್ಧೆ    ನಮ್ಮನ್ನು ಯಶಸ್ಸಿನ ಬೆನ್ನ ಹತ್ತುತ್ತಿಸುತ್ತದೆ.....,Positive,Not_offensive
4077,ಹಾಡು ಚಿಂಡಿ ಚಿಟ್ರಾನ್ನಾ ಗುರು,Song chindi chitranna guru,Positive,Not_offensive
1171,ಅಶ್ವತ್ ಅವ್ರುನ್ ನಡ್ಡಾಗ್ ಅಯುಥು.,Ashwath avrne noddag aythu.,Positive,Not_offensive
3132,ನಲ್ಕನ್ ಬೆನಿಯು ಗುರು,Nakkan benki guru,Positive,Not_offensive
264,@ ಎಂಟರ್ಟೈನ್ಮೆಂಟ್ ಗೇಮಿಂಗ್,@Entertainment Gaming ನಂಗೆ ಎಲ್ಲೋ ಕಾಣಿಸ್ತಾ ಇಲ್ವೇ ಇಲ್ಲ,Mixed,Offensive_Targeted_Insult_Individual
1787,ಇ ಸಾಂಗ್ ಸೂಪರ್ ಮತ್ತು ಸುಂದರ ಹೆಜ್ಜೆ ಸೂಪರ್ ಅನ್ನ್ರೂರು ಮಡಿ,E song super and handsome step super annowru like madi,Positive,Not_offensive
1286,ಬ್ಯಾರಿ ದಬ್ಬಾ ಮೂವೀ ನೆಯ ಮೇ ಕ್ಯಾಡೋ ಡು,Barri dabba movie ne unn maado du,Negative,Offensive_Targeted_Insult_Group
4451,ಸೂಪರ್ ಚಲನಚಿತ್ರ ಯಾ ......,Super movie yaa......,Mixed,Not_offensive
70,100 ಮೀ AAGLE CEK ..,100M AAgle bek ..,Positive,Not_offensive
